name,name_en,amenity,building,healthcare,healthca_1,operator_t,capacity_p,addr_full,addr_city,source,name_ro,osm_id,osm_type,longitude,latitude
Ropharma,,pharmacy,,pharmacy,,,,,Targu Mures,,,4998553897,nodes,24.5474787,46.5595774
Periodont,,dentist,,dentist,dentist,,,,Targu Mures,,,9007705706,nodes,24.5566921,46.5415486
Farmacie,,pharmacy,,,,,,,,,,1216012482,nodes,24.3546826,47.6599594
Dispensar,,hospital,,hospital,,,,,,,,880183364,nodes,24.3496722,47.6593039
Centrul Medical Cutezantei,,clinic,,clinic,,,,,,,Centrul Medical Cutezantei,8545101155,nodes,24.5901771,46.5371078
,,pharmacy,,pharmacy,,,,,,,,913162387,nodes,24.5918677,46.5359172
Medimfarm,,pharmacy,,pharmacy,,,,,Targu Mures,,Medimfarm,8545101162,nodes,24.5910273,46.5366742
,,pharmacy,,pharmacy,,,,,Targu Mures,,,8545101156,nodes,24.5903105,46.5370313
,,pharmacy,,pharmacy,,,,,,,,4010961961,nodes,24.2126749,47.8303858
Clinica,,hospital,,hospital,,,,,,,,6137822324,nodes,24.2237306,47.8244139
,,pharmacy,,pharmacy,,,,,Stramtura,,,7625640430,nodes,24.1327109,47.7745906
Mihalca Farm,,pharmacy,,pharmacy,,,,,,,,6150300588,nodes,24.2205395,47.8258947
Spitalul De Urgenta,,hospital,,hospital,,,,,,,,10783973078,nodes,24.2750948,47.7840339
,,pharmacy,,pharmacy,,,,,,,,10783874275,nodes,24.2797174,47.7886703
Dr. Max,,pharmacy,,pharmacy,,,,,Reghin,,,10219976391,nodes,24.7125497,46.7791545
Farmacia Hermina,,pharmacy,,pharmacy,,,,,,,,2415239957,nodes,26.5060977,46.8388542
,,doctors,,,,,,,,,,2609047526,nodes,26.8211025,47.0230142
Clinica Mociu,,clinic,,clinic,,,,,,,,4873604770,nodes,24.0268099,46.7959294
Cabinet Stomatologic - Dr. Rachieru Maria Narcisa,,dentist,,dentist,,,,,,,,9445314403,nodes,26.3623781,46.9338115
ZonaMed,,clinic,,clinic,urology;cardiology;surgery,,,,Targu Mures,,,10769329329,nodes,24.5639397,46.5468022
Farmacia Royal,,pharmacy,,pharmacy,,,,,Targu Mures,,,10565156291,nodes,24.5640129,46.5477509
Catena,,pharmacy,,pharmacy,,,,,,,,3800110923,nodes,26.6623215,47.7430656
